embann.c:51:21: note: Considering inline candidate embann_initOutputLayer/31.
embann.c:51:21: missed:   will not early inline: embann_init/28->embann_initOutputLayer/31, growth 58 exceeds --param early-inlining-insns
embann.c:48:21: note: Considering inline candidate embann_initHiddenLayer/30.
embann.c:48:21: missed:   will not early inline: embann_init/28->embann_initHiddenLayer/30, growth 71 exceeds --param early-inlining-insns
embann.c:47:21: note: Considering inline candidate embann_initInputLayer/29.
embann.c:47:21: missed:   will not early inline: embann_init/28->embann_initInputLayer/29, growth 30 exceeds --param early-inlining-insns
embann.c:255:9: note: Considering inline candidate embann_getTrainingDataMean/35.
embann.c:255:9: missed:   will not early inline: embann_getTrainingDataStdDev/36->embann_getTrainingDataMean/35, growth 20 exceeds --param early-inlining-insns
embann.c:605:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:605:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:571:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:571:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:565:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:565:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:361:43: note: Considering inline candidate embann_outputLayer/49.
embann.c:361:43: optimized:  Inlining embann_outputLayer/49 into embann_inputLayer/39.
embann.c:353:5: note: Considering inline candidate embann_sumAndSquash/40.
embann.c:353:5: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquash/40, growth 21 exceeds --param early-inlining-insns
embann.c:346:9: note: Considering inline candidate embann_sumAndSquash/40.
embann.c:346:9: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquash/40, growth 21 exceeds --param early-inlining-insns
embann.c:339:5: note: Considering inline candidate embann_sumAndSquashInput/41.
embann.c:339:5: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquashInput/41, growth 21 exceeds --param early-inlining-insns
embann.c:473:13: note: Considering inline candidate millis/56.
embann.c:473:13: optimized:  Inlining millis/56 into embann_trainDriverInTime/45.
embann.c:490:25: note: Considering inline candidate embann_train/47.
embann.c:490:25: missed:   will not early inline: embann_trainDriverInTime/45->embann_train/47, growth 107 exceeds --param early-inlining-insns
embann.c:486:29: note: Considering inline candidate embann_errorReporting/54.
embann.c:486:29: missed:   will not early inline: embann_trainDriverInTime/45->embann_errorReporting/54, growth 31 exceeds --param early-inlining-insns
embann.c:482:9: note: Considering inline candidate embann_inputLayer/39.
embann.c:482:9: missed:   will not early inline: embann_trainDriverInTime/45->embann_inputLayer/39, growth 41 exceeds --param early-inlining-insns
embann.c:481:9: note: Considering inline candidate embann_inputMinMaxScale/33.
embann.c:481:9: optimized:  Inlining embann_inputMinMaxScale/33 into embann_trainDriverInTime/45.
embann.c:471:26: note: Considering inline candidate millis/56.
embann.c:471:26: optimized:  Inlining millis/56 into embann_trainDriverInTime/45.
embann.c:520:25: note: Considering inline candidate embann_train/47.
embann.c:520:25: missed:   will not early inline: embann_trainDriverInError/46->embann_train/47, growth 107 exceeds --param early-inlining-insns
embann.c:516:29: note: Considering inline candidate embann_errorReporting/54.
embann.c:516:29: missed:   will not early inline: embann_trainDriverInError/46->embann_errorReporting/54, growth 31 exceeds --param early-inlining-insns
embann.c:512:9: note: Considering inline candidate embann_inputLayer/39.
embann.c:512:9: missed:   will not early inline: embann_trainDriverInError/46->embann_inputLayer/39, growth 41 exceeds --param early-inlining-insns
embann.c:511:9: note: Considering inline candidate embann_inputMinMaxScale/33.
embann.c:511:9: optimized:  Inlining embann_inputMinMaxScale/33 into embann_trainDriverInError/46.
embann.c:34:21: note: Considering inline candidate embann_init/28.
embann.c:34:21: missed:   will not early inline: main/27->embann_init/28, growth 20 exceeds --param early-inlining-insns
embann.c:33:21: note: Considering inline candidate embann_benchmark/55.
embann.c:33:21: missed:   will not early inline: main/27->embann_benchmark/55, growth 158 exceeds --param early-inlining-insns
missed:   not inlinable: embann_benchmark/55 -> __builtin_stack_restore/70, function body not available
embann.c:708:24: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:705:32: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:699:36: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:696:32: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:690:40: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:684:36: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:677:32: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:673:32: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:657:20: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:654:28: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:651:24: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:648:20: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:646:20: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:644:24: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:641:20: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
embann.c:618:27: missed:   not inlinable: embann_tanhDerivative/48 -> powf/62, function body not available
embann.c:618:32: missed:   not inlinable: embann_tanhDerivative/48 -> tanh/71, function body not available
missed:   not inlinable: embann_train/47 -> __builtin_stack_restore/70, function body not available
embann.c:618:27: missed:   not inlinable: embann_train/47 -> powf/62, function body not available
embann.c:618:32: missed:   not inlinable: embann_train/47 -> tanh/71, function body not available
embann.c:618:27: missed:   not inlinable: embann_train/47 -> powf/62, function body not available
embann.c:618:32: missed:   not inlinable: embann_train/47 -> tanh/71, function body not available
embann.c:618:27: missed:   not inlinable: embann_train/47 -> powf/62, function body not available
embann.c:618:32: missed:   not inlinable: embann_train/47 -> tanh/71, function body not available
embann.c:557:11: missed:   not inlinable: embann_train/47 -> __builtin_alloca_with_align/68, function body not available
embann.c:554:11: missed:   not inlinable: embann_train/47 -> __builtin_alloca_with_align/68, function body not available
embann.c:553:1: missed:   not inlinable: embann_train/47 -> __builtin_stack_save/67, function body not available
missed:   not inlinable: embann_trainDriverInError/46 -> __builtin_stack_restore/70, function body not available
embann.c:547:24: missed:   not inlinable: embann_trainDriverInError/46 -> printf/60, function body not available
embann.c:537:28: missed:   not inlinable: embann_trainDriverInError/46 -> printf/60, function body not available
embann.c:536:28: missed:   not inlinable: embann_trainDriverInError/46 -> printf/60, function body not available
embann.c:529:46: missed:   not inlinable: embann_trainDriverInError/46 -> pow/69, function body not available
embann.c:525:46: missed:   not inlinable: embann_trainDriverInError/46 -> pow/69, function body not available
embann.c:520:25: missed:   not inlinable: embann_trainDriverInError/46 -> embann_train/47, --param max-inline-insns-auto limit reached
embann.c:517:28: missed:   not inlinable: embann_trainDriverInError/46 -> printf/60, function body not available
embann.c:516:29: missed:   not inlinable: embann_trainDriverInError/46 -> embann_errorReporting/54, --param max-inline-insns-auto limit reached
embann.c:512:9: missed:   not inlinable: embann_trainDriverInError/46 -> embann_inputLayer/39, --param max-inline-insns-auto limit reached
embann.c:509:29: missed:   not inlinable: embann_trainDriverInError/46 -> random/61, function body not available
embann.c:508:24: missed:   not inlinable: embann_trainDriverInError/46 -> random/61, function body not available
embann.c:503:24: missed:   not inlinable: embann_trainDriverInError/46 -> printf/60, function body not available
embann.c:498:11: missed:   not inlinable: embann_trainDriverInError/46 -> __builtin_alloca_with_align/68, function body not available
embann.c:496:1: missed:   not inlinable: embann_trainDriverInError/46 -> __builtin_stack_save/67, function body not available
embann.c:916:5: missed:   not inlinable: embann_trainDriverInTime/45 -> gettimeofday/57, function body not available
embann.c:490:25: missed:   not inlinable: embann_trainDriverInTime/45 -> embann_train/47, --param max-inline-insns-auto limit reached
embann.c:487:28: missed:   not inlinable: embann_trainDriverInTime/45 -> printf/60, function body not available
embann.c:486:29: missed:   not inlinable: embann_trainDriverInTime/45 -> embann_errorReporting/54, --param max-inline-insns-auto limit reached
embann.c:482:9: missed:   not inlinable: embann_trainDriverInTime/45 -> embann_inputLayer/39, --param max-inline-insns-auto limit reached
embann.c:476:29: missed:   not inlinable: embann_trainDriverInTime/45 -> random/61, function body not available
embann.c:475:24: missed:   not inlinable: embann_trainDriverInTime/45 -> random/61, function body not available
embann.c:916:5: missed:   not inlinable: embann_trainDriverInTime/45 -> gettimeofday/57, function body not available
embann.c:468:24: missed:   not inlinable: embann_trainDriverInTime/45 -> printf/60, function body not available
embann.c:440:4: missed:   not inlinable: embann_copyTrainingData/43 -> __builtin___memcpy_chk/66, function body not available
embann.c:440:4: missed:   not inlinable: embann_copyTrainingData/43 -> __builtin_object_size/65, function body not available
embann.c:433:42: missed:   not inlinable: embann_copyTrainingData/43 -> malloc/59, function body not available
embann.c:405:42: missed:   not inlinable: embann_addTrainingData/42 -> malloc/59, function body not available
embann.c:393:33: missed:   not inlinable: embann_sumAndSquashInput/41 -> tanhf/64, function body not available
embann.c:375:33: missed:   not inlinable: embann_sumAndSquash/40 -> tanhf/64, function body not available
embann.c:272:15: missed:   not inlinable: embann_getTrainingDataStdDev/36 -> sqrtf/63, function body not available
embann.c:266:29: missed:   not inlinable: embann_getTrainingDataStdDev/36 -> powf/62, function body not available
embann.c:177:20: missed:   not inlinable: embann_initOutputLayer/31 -> printf/60, function body not available
embann.c:171:66: missed:   not inlinable: embann_initOutputLayer/31 -> random/61, function body not available
embann.c:170:64: missed:   not inlinable: embann_initOutputLayer/31 -> random/61, function body not available
embann.c:165:68: missed:   not inlinable: embann_initOutputLayer/31 -> malloc/59, function body not available
embann.c:159:43: missed:   not inlinable: embann_initOutputLayer/31 -> malloc/59, function body not available
embann.c:153:20: missed:   not inlinable: embann_initOutputLayer/31 -> printf/60, function body not available
embann.c:145:51: missed:   not inlinable: embann_initOutputLayer/31 -> malloc/59, function body not available
embann.c:136:24: missed:   not inlinable: embann_initHiddenLayer/30 -> printf/60, function body not available
embann.c:128:24: missed:   not inlinable: embann_initHiddenLayer/30 -> printf/60, function body not available
embann.c:124:70: missed:   not inlinable: embann_initHiddenLayer/30 -> random/61, function body not available
embann.c:123:68: missed:   not inlinable: embann_initHiddenLayer/30 -> random/61, function body not available
embann.c:114:71: missed:   not inlinable: embann_initHiddenLayer/30 -> malloc/59, function body not available
embann.c:108:47: missed:   not inlinable: embann_initHiddenLayer/30 -> malloc/59, function body not available
embann.c:102:24: missed:   not inlinable: embann_initHiddenLayer/30 -> printf/60, function body not available
embann.c:94:55: missed:   not inlinable: embann_initHiddenLayer/30 -> malloc/59, function body not available
embann.c:84:20: missed:   not inlinable: embann_initInputLayer/29 -> printf/60, function body not available
embann.c:78:43: missed:   not inlinable: embann_initInputLayer/29 -> malloc/59, function body not available
embann.c:71:20: missed:   not inlinable: embann_initInputLayer/29 -> printf/60, function body not available
embann.c:63:48: missed:   not inlinable: embann_initInputLayer/29 -> malloc/59, function body not available
embann.c:43:28: missed:   not inlinable: embann_init/28 -> malloc/59, function body not available
embann.c:34:21: missed:   not inlinable: main/27 -> embann_init/28, call is unlikely and code size would grow
embann.c:33:21: missed:   not inlinable: main/27 -> embann_benchmark/55, --param max-inline-insns-auto limit reached
embann.c:31:5: missed:   not inlinable: main/27 -> srandom/58, function body not available
embann.c:30:5: missed:   not inlinable: main/27 -> gettimeofday/57, function body not available
embann.c:47:21: optimized:  Inlined embann_initInputLayer/29 into embann_init/28 which now has time 243.366256 and size 62, net change of -6.
embann.c:51:21: optimized:  Inlined embann_initOutputLayer/31 into embann_init/28 which now has time 3921.651112 and size 120, net change of -7.
embann.c:48:21: optimized:  Inlined embann_initHiddenLayer/30 into embann_init/28 which now has time 35161.835938 and size 191, net change of -8.
embann.c:346:9: optimized:  Inlined embann_sumAndSquash/79 into embann_inputLayer/39 which now has time 8666.423599 and size 66, net change of +21.
embann.c:255:9: optimized:  Inlined embann_getTrainingDataMean/80 into embann_getTrainingDataStdDev/36 which now has time 926.530683 and size 53, net change of +20.
embann.c:339:5: optimized:  Inlined embann_sumAndSquashInput/81 into embann_inputLayer/39 which now has time 9699.622009 and size 87, net change of +21.
embann.c:353:5: optimized:  Inlined embann_sumAndSquash/82 into embann_inputLayer/39 which now has time 10732.820419 and size 108, net change of +21.
Unit growth for small function inlining: 1442->1504 (4%)

Inlined 15 calls, eliminated 4 functions

embann.c:157:5: missed: couldn't vectorize loop
embann.c:157:5: missed: not vectorized: control flow in loop.
embann.c:163:9: missed: couldn't vectorize loop
embann.c:165:68: missed: statement clobbers memory: outputNeuronParams_47 = malloc (8);
embann.c:92:5: missed: couldn't vectorize loop
embann.c:92:5: missed: not vectorized: multiple nested loops.
embann.c:106:9: missed: couldn't vectorize loop
embann.c:106:9: missed: not vectorized: control flow in loop.
embann.c:112:13: missed: couldn't vectorize loop
embann.c:114:71: missed: statement clobbers memory: hiddenLayerParams_87 = malloc (8);
embann.c:76:5: missed: couldn't vectorize loop
embann.c:78:43: missed: statement clobbers memory: pNeuron_125 = malloc (4);
embann.c:38:5: note: vectorized 0 loops in function.
embann.c:165:68: missed: statement clobbers memory: outputNeuronParams_47 = malloc (8);
embann.c:114:71: missed: statement clobbers memory: hiddenLayerParams_87 = malloc (8);
embann.c:78:43: missed: statement clobbers memory: pNeuron_125 = malloc (4);
embann.c:43:28: missed: statement clobbers memory: _4 = malloc (_3);
embann.c:63:48: missed: statement clobbers memory: inputLayer_121 = malloc (_120);
embann.c:71:20: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - inputLayer: 0x%x, size: %ld\x1b[0m\n", _123, _120);
embann.c:78:43: missed: statement clobbers memory: pNeuron_125 = malloc (4);
embann.c:84:20: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - done input\x1b[0m"[0]);
embann.c:94:55: missed: statement clobbers memory: hiddenLayer_75 = malloc (_74);
embann.c:102:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - hiddenlayer: 0x%x, size: %ld\x1b[0m\n", _77, _74);
embann.c:108:47: missed: statement clobbers memory: pNeuron_84 = malloc (iftmp.16_83);
embann.c:114:71: missed: statement clobbers memory: hiddenLayerParams_87 = malloc (8);
embann.c:123:68: missed: statement clobbers memory: _90 = random ();
embann.c:124:70: missed: statement clobbers memory: _96 = random ();
embann.c:128:24: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - done hidden\x1b[0m"[0]);
embann.c:130:33: missed: not vectorized: more than one data ref in stmt: network.20_109->hiddenLayer[_110] = *hiddenLayer_75;
embann.c:136:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - hiddenlayer[i]: 0x%x\x1b[0m\n", _113);
embann.c:145:51: missed: statement clobbers memory: outputLayer_37 = malloc (_36);
embann.c:153:20: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - outputLayer: 0x%x, size: %ld\x1b[0m\n", _39, _36);
embann.c:159:43: missed: statement clobbers memory: pNeuron_44 = malloc (_43);
embann.c:165:68: missed: statement clobbers memory: outputNeuronParams_47 = malloc (8);
embann.c:170:64: missed: statement clobbers memory: _51 = random ();
embann.c:171:66: missed: statement clobbers memory: _57 = random ();
embann.c:177:20: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - done output\x1b[0m"[0]);
embann.c:58:12: note: ***** Re-trying analysis with vector size 16
embann.c:185:52: missed: failed: evolution of base is not affine.
embann.c:183:5: missed: couldn't vectorize loop
embann.c:185:52: missed: not vectorized: not suitable for scatter store _4->activation = _5;
embann.c:181:6: note: vectorized 0 loops in function.
embann.c:185:52: missed: failed: evolution of base is not affine.
embann.c:193:52: missed: failed: evolution of base is not affine.
embann.c:191:5: missed: couldn't vectorize loop
embann.c:193:52: missed: not vectorized: not suitable for scatter store _11->activation = _12;
embann.c:189:6: note: vectorized 0 loops in function.
embann.c:193:52: missed: failed: evolution of base is not affine.
embann.c:201:52: missed: failed: evolution of base is not affine.
embann.c:199:5: missed: couldn't vectorize loop
embann.c:201:52: missed: not vectorized: not suitable for scatter store _6->activation = _7;
embann.c:197:6: note: vectorized 0 loops in function.
embann.c:201:52: missed: failed: evolution of base is not affine.
embann.c:223:47: missed: couldn't vectorize loop
embann.c:223:47: missed: not vectorized: control flow in loop.
embann.c:223:9: optimized: loop vectorized using 32 byte vectors
embann.c:205:5: note: vectorized 1 loops in function.
embann.c:225:39: missed: failed: evolution of offset is not affine.
embann.c:205:5: missed: statement clobbers memory: __builtin_trap ();
embann.c:262:11: missed: couldn't vectorize loop
embann.c:262:11: missed: not vectorized: control flow in loop.
embann.c:264:9: missed: couldn't vectorize loop
embann.c:266:26: missed: not vectorized: relevant stmt not supported: sumofSquares_33 = powmult_9 + sumofSquares_59;
embann.c:223:47: missed: couldn't vectorize loop
embann.c:223:47: missed: not vectorized: control flow in loop.
embann.c:223:9: optimized: loop vectorized using 32 byte vectors
embann.c:238:5: note: vectorized 1 loops in function.
embann.c:225:39: missed: failed: evolution of offset is not affine.
embann.c:272:15: missed: statement clobbers memory: sqrtf (sumofSquares_65);
embann.c:238:5: missed: statement clobbers memory: __builtin_trap ();
embann.c:296:36: missed: failed: evolution of offset is not affine.
embann.c:292:11: missed: couldn't vectorize loop
embann.c:292:11: missed: not vectorized: control flow in loop.
embann.c:294:9: missed: couldn't vectorize loop
embann.c:294:9: missed: not vectorized: control flow in loop.
embann.c:277:5: note: vectorized 0 loops in function.
embann.c:296:36: missed: failed: evolution of offset is not affine.
embann.c:325:36: missed: failed: evolution of offset is not affine.
embann.c:321:11: missed: couldn't vectorize loop
embann.c:321:11: missed: not vectorized: control flow in loop.
embann.c:323:9: missed: couldn't vectorize loop
embann.c:323:9: missed: not vectorized: control flow in loop.
embann.c:307:5: note: vectorized 0 loops in function.
embann.c:325:36: missed: failed: evolution of offset is not affine.
embann.c:629:41: missed: failed: evolution of offset is not affine.
embann.c:388:31: missed: failed: evolution of base is not affine.
embann.c:391:46: missed: failed: evolution of base is not affine.
embann.c:391:81: missed: failed: evolution of base is not affine.
embann.c:337:9: missed: failed: evolution of base is not affine.
embann.c:393:31: missed: failed: evolution of base is not affine.
embann.c:391:46: missed: failed: evolution of base is not affine.
embann.c:391:81: missed: failed: evolution of base is not affine.
embann.c:370:31: missed: failed: evolution of base is not affine.
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:375:31: missed: failed: evolution of base is not affine.
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:370:31: missed: failed: evolution of base is not affine.
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:375:31: missed: failed: evolution of base is not affine.
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:629:41: missed: failed: evolution of offset is not affine.
embann.c:626:5: missed: couldn't vectorize loop
embann.c:337:9: missed: not vectorized: unsupported use in stmt.
embann.c:368:5: missed: couldn't vectorize loop
embann.c:368:5: missed: not vectorized: control flow in loop.
embann.c:371:9: missed: couldn't vectorize loop
embann.c:373:35: missed: not vectorized: complicated access pattern.
embann.c:344:5: missed: couldn't vectorize loop
embann.c:344:5: missed: not vectorized: multiple nested loops.
embann.c:368:5: missed: couldn't vectorize loop
embann.c:368:5: missed: not vectorized: control flow in loop.
embann.c:371:9: missed: couldn't vectorize loop
embann.c:373:35: missed: not vectorized: complicated access pattern.
embann.c:386:5: missed: couldn't vectorize loop
